Matchcode,Strain,Start of outbreak,Duration (days),"city, Country",Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments,,"193 search results under: ""acinetobacter"""
Acinetobacter-2010-Mád-3052,AU,2006.66,61,"Szeged, Hungary",,,3,unk,yes,,,duplicates removed
Acinetobacter-2010-Jun-2902,MDRAB,2008.00,365,"Seoul, Korea",,,200,equip,no,"abstract: suspected transmission from mechanical ventilation, endotracheal tubes, central venous catheters",,multiple organism cases removed
Acinetobacter-2010-LaF-2860,MDRAB,2004.42,304,"Evanston, USA",,,18,env,yes,database: horizontal drainage system in the ICU,,
Acinetobacter-2010-Gul-3112,MDRAB,2008.92,151,"Seattle, USA",,,5,unk,no,,,
Acinetobacter-2010-Cul-2912,MDRAB,2006.75,132,"Madric, Spain",,,41,HCW+equip,yes,database: HCW suspected & water in oxygen bubbler,,
Acinetobacter-2010-Cho-2834,CRAB,2007.75,304,"Seoul, Korea",,,57,env+equip,yes,"database: isolated from bed rails, bedside tables, infusion pumps, blood pressure cuffs, external surfaces of the endotracheal tubes of all patients receiving mechanical ventilation, ventilator control panels, and condensate formed in the inspiratory phase tubing of the ventilator circuits and HCW hands",,
Acinetobacter-2009-Mon-2699,MDRAB,2005.50,189,"Badajoz, Spain",,,21,unk,yes,,,
Acinetobacter-2009-Jam-2695,MDRAB,2006.08,28,"Safat, Kuwait",,,6,HCW+equip,yes,contaminated urine bottles and bedpans and hands of HCW,,
Acinetobacter-2009-AlJ-2849,MDRAB,2004.08,356,"Gaza, Palestine",,,40,unk,yes,,,
Acinetobacter-2009-Rom-2891,MDRAB,2007.00,546,"Belo Horizonte, Brazil",,,86,unk,yes,,,
Acinetobacter-2009-Sim-2943,MDRAB,2007.25,20,"Mineola, USA",,,7,HCW ,no,,,
Acinetobacter-2009-Jam-2697,MDRAB-C,2007.25,30,"Safat, Kuwait",,,6,env+equip,yes,abstract,,
Acinetobacter-2009-Jam-2696,MDRAB,2006.25,61,"Safat, Kuwait",,,12,env+equip,yes,abstract ,,
Acinetobacter-2009-Tou-2509,AB,2006.33,304,"Tunis, Tunisia",,,31,unk,yes,,,
Acinetobacter-2009-Yan-2822,ESBLAB,2006.83,274,"Seoul, Korea",,,49,unk,no,,,
Acinetobacter-2008-Kil-2482,AS,,7,"Ankara, Turkey",,,5,unk,yes,,,
Acinetobacter-2008-ENO-2466,AB,2005.83,181,"Cambridge, UK",,,19,env,yes,database,,
Acinetobacter-2008-Fon-2760,AB,2005.75,334,"Rome, Italy",,,13,HCW,no,,,
Acinetobacter-2008-Zar-2733,AB,2004.83,365,"Napoli, Italy",,,17,unk,yes,,,
Acinetobacter-2008-Cet-3137,AB,2006.25,275,"Isparata, Turkey",,,17,equip,yes,abstract: tracheal aspirates,,
Acinetobacter-2008-Cet-3136,AB,2006.00,424,"Isparata, Turkey",,,12,equip,yes,abstract: tracheal aspirates,,
Acinetobacter-2008-She-2597,AB,2005.33,426,"Houston, USA",,,107,unk,yes,,,
Acinetobacter-2008-Kim-2555,AB,2005.33,92,"Daegu, Korea",,,42,unk,yes,,,
Acinetobacter-2008-Mar-2550,MDRAB,2006.00,98,"Athens, Greece",,,14,HCW+env,yes,database,,
Acinetobacter-2008-Mer-2581,MDRAB,2005.75,396,"Izmit, Turkey",,,47,equip,no,suggested contamination of respirators,,
Acinetobacter-2008-Els-2807,MDR Acinetobacter,2006.25,30,"Darwin, Australia",,,13,unk,yes,,,
Acinetobacter-2008-She-3071,MDRAB,2005.33,61,"Houston, USA",,,107,unk,no,,,
Acinetobacter-2007-Zan-3029,MDRAB,2002.75,791,"Lausanne, Switzerland",,,9,env,yes,database,,
Acinetobacter-2007-Gio-3026,MDRAB,2004.33,92,"Rome, Italy",,,15,unk,yes,,,
Acinetobacter-2007-Val-3003,CRAB,1995.00,2190,"Sydney, Australia",,,177,unk,yes,,,
Acinetobacter-2007-Zho-3021,EeSBLAB,2003.58,518,"Hangzhou, China",,,95,unk,yes,,,
Acinetobacter-2007-Lee-2633,AB,1999.42,30,"Tainan, Taiwan",,,11,unk,yes,"database:After inappropriate preparation of the morphine solution was identified and stopped, the outbreak ended. ",,
Acinetobacter-2007-Tie-2797,MDRAB,2006.00,275,"Toronto, Canada",,,4,env+equip,yes,database: ventilator,,
Acinetobacter-2007-You-2987,MDRAB,2004.92,276,"Denver, USA",,,67,env+equip,no,,,
Acinetobacter-2007-Mar-3023,MDRAB,2003.25,91,"Tel-Aviv, Israel",,,96,HCW+PTP,no,,,
Acinetobacter-2007-STE-2450,AB,2003.00,730,"Akron, USA",,,151,unk,yes,,,
Acinetobacter-2007-CHA-2449,AB,2004.75,92,"Taipei, Taiwan",,,9,env,yes,only one environmental sample positive,,
Acinetobacter-2007-WYB-2430,AB,2004.67,335,"Brussels, Belgium",,,30,PTP,yes,,,
Acinetobacter-2006-Alp-2707,AB,2002.17,396,"Kayseri, Turkey",,,41,equip,yes,database: intravascular catheter,,
Acinetobacter-2006-Bog-3009,MDRAB,2004.67,365,"Brussels, Belgium",,,17,unk,no,,,
Acinetobacter-2006-Poi-2703,AB,2003.83,730,"Athens, Greece",,,93,unk,no,,,
Acinetobacter-2006-DeV-2541,AB,1999.08,89," Merida, Venezuela",,,16,equip,no,,,
Acinetobacter-2006-Jeo-2792,AB,2004.42,183,"Busan, Korea",,,2,unk,yes,,,
Acinetobacter-2006-Wil-2225,MDRAB,2001.42,548,"London, United Kingdom",,,136,HCW+env,yes,"database: curtains, slings from patient-lifting equipment, cleaned reusable laryngoscope blades, gas taps behind the beds, mops, buckets, door handles, and computer keyboards.",,
Acinetobacter-2006-De-2148,AB,1999.08,120,"Merida, Venezuela",,,16,HCW,yes,,,
Acinetobacter-2006-Lon-2328,MDRAB,2005.25,91,Italy,,,14,equip,no,"database: nurse's gloves, a physician's disposable coat, a wash basin and a patient's chart cover.",,
Acinetobacter-2006-Bog-2318,MDRAB,2004.67,212,"Brussels, Belgium",,,17,unk,no,,,
Acinetobacter-2006-Idz-2248,A spp.,2004.58,61,The Netherlands,,,4,PTP,no,,,
Acinetobacter-2006-Kra-2344,AB,2003.25,91,"Athens, Greece",,,31,unk,yes,only one ICU bed positive,,
Acinetobacter-2006-Pou-2091,MDRAB,2002.17,245,"Athens, Greece",,,15,unk,yes,,,
Acinetobacter-2005-Gud-2065,MDRAB,2003.50,62,"Van, Turkey",,,9,HCW+equip,yes,"database: gloves, telephone receiver, ventilation equipment and monitors",,
Acinetobacter-2005-Naa-1907,MDRAB,2003.92,212,"Tahiti, French Polynesia",,,24,unk,no,,,
Acinetobacter-2005-del-1850,MDRAB,2001.75,335,"La Coruna, Spain",,,30,unk,no,,,
Acinetobacter-2005-Bri-1978,MDRAB,2001.75,182,"Uberlândia, Brazil",,,11,PTP,yes,env and hand cultures were negative,,
Acinetobacter-2005-Car-1749,ESBLAB,2001.58,92,"Paris, France",,,33,PTP,no,,,
Acinetobacter-2005-Jeo-1847,MDRAB,2003.00,244,"Busan, Korea",,,36,unk,no,,,
Acinetobacter-2005-Pim-1676,MDRAB,2003.92,121,"Geelong,  Australia",,,10,equip,no,suspected respiratory equipment,,
Acinetobacter-2005-Mas-1674,AB,2002.50,243,"Philadelphia, Pennsylvania ",,,69,unk,no,,,
Acinetobacter-2005-Her-1646,MDRAB,2003.58,243,"Toulouse, France",,,6,unk,no,,,
Acinetobacter-2005-Jeo-1679,ESBLAB,2003.08,212,"Busan, Korea",,,10,unk,no,,,
Acinetobacter-2005-Abb-3024,MDRAB,2001.00,181,"Tel Aviv, Israel",,,118,HCW+PTP,no,,,
Acinetobacter-2004-El-1287,MDRAB,2002.00,181,"Doha, Qatar",,,21,HCW+env+equip,yes,,,
Acinetobacter-2004-Man-1540,A spp.,,7,Saudi Arabia,,,7,equip,yes,database: transtracheal aspirate cultures in seven intubated neonates,,
Acinetobacter-2004-Ber-1642,MDRAB,2003.00,365,"Leiden, The Netherlands",,,5,equip+air,yes,database: dust inside the continuous veno-venous hemofiltration (CVVH) machines,,
Acinetobacter-2004-Ber-1641,MDRAB,2000.75,426,"Leiden, The Netherlands",,,29,equip+air,no,database: dust in the interior of a mechanical ventilator ,,
Acinetobacter-2004-Bor-1489,MDRAB,2003.17,61,"Tübingen, Germany. ",,,14,PTP+env,no,"negative env, equip, water; only one patient's ventilator was positive",,
Acinetobacter-2004-Her-3142,AB,2000.08,150,"Madrid, Spain. ",,,18,unk,no,,,
Acinetobacter-2004-Her-3082,MDRAB,2000.17,334,"Madrid, Spain",,,18,unk,no,,,
Acinetobacter-2004-Den-1286,AB,1998.00,730,"Leeds, UK",,,19,unk,no,,,
Acinetobacter-2004-Sev-1313,A spp.,1992.83,181,"São Paulo, Brazi",,,16,equip,yes,database: mechanical ventilation,,
Acinetobacter-2004-Wri-1334,MDRAB,2002.50,123,"Baltimore, USA",,,13,PTP,no,,,
Acinetobacter-2004-Hig-3079,MDRAB,1991.67,487,,,,34,unk,no,,,
Acinetobacter-2004-Hig-3078,MDRAB,1991.83,181,,,,9,unk,no,,,
Acinetobacter-2004-De-1435,MDRAB,2001.92,121,South Africa,,,14,unk,no,,,
Acinetobacter-2004-Mar-1655,AB,2003.67,61,"Baltimore,  USA",,,7,unk,no,,,
Acinetobacter-2004-Zar-3086,MDRAB,2002.00,365,Italy,,,43,HCW+equip,yes,"database: humidifiers and monitors, and hand carriage",,
Acinetobacter-2004-Wro-1487,MDRAB,1998.92,182,"Warsaw, Poland",,,7,equip,no,only one culture in suctioning equipment,,
Acinetobacter-2004-Zar-3085,MDRAB,1999.58,577,"Naples, Italy",,,81,PTP,no,,,
Acinetobacter-2003-Aya-1759,MDRAB,2000.00,365,"Malatya, Turkey",,,21,unk,no,,,
Acinetobacter-2003-Mit-1794,MDRAB,1997.08,181,"New Delhi, India",,,47,env+equip,yes,intravenous catheter and washbasin,,
Acinetobacter-2003-Wan-1412,MDRAB,2000.83,61,"Taipei, Taiwan",,,7,env,yes,"database: bed rails, bedside tables, surface of ventilators and infusion pump, water for nasogastric feeding and ventilator rinsing and sinks.",,
Acinetobacter-2003-Bay-1766,MDRAB,1999.00,365,"Manchester, UK",,,13,env,yes,"database:  ventilator panels, mattress cover, suction apparatus, sink taps, dermatomes, skin graft knives, anaesthetic equipment, fluid warmers",,
Acinetobacter-2003-Dal-1648,MDRAB,1999.00,365,"Curitiba, Brazil",,,8,unk,no,,,
Acinetobacter-2003-Mel-1411,MDRAB,1999.42,122,"Beer-Sheva, Israel",,,17,equip,no,,,
Acinetobacter-2003-Smo-3150,MDRAB,2000.00,365,"Beer-Sheva, Israel",,,6,unk,no,,,
Acinetobacter-2003-Smo-3149,MDRAB,2000.00,365,"Beer-Sheva, Israel",,,6,unk,no,,,
Acinetobacter-2002-Das-1410,MDRAB,1998.92,121,"Birmingham, UK",,,13,env,yes,"database: bed surfaces, surfaces of equipment, floor mops (dried) and curtains",,
Acinetobacter-2002-Lev-1768,MDRAB,2000.50,7,"Ioannina, Greece",,,5,HCW+env,no,,,
Acinetobacter-2002-Van-1427,A spp.,1999.92,212,"Utrecht, The Netherlands",,,23,env,yes,database,,
Acinetobacter-2002-Ayg-682,CRAB,1999.25,91,"Istanbul, Turkey",,,12,env,yes,database: 7.1% environment contaminated,,
Acinetobacter-2002-Wu-1763,MDRAB,1998.50,607,"Taoyuan, Taiwan",,,,unk,no,,,
Acinetobacter-2002-Sim-1360,MDRAB,1998.92,486,"North York, Ontario, Canada",,,31,HCW+env,yes,"database: electrocautery equipment in the operating room, the table, hose and drain of the hydrotherapy room, and paper towel dispensers",,
Acinetobacter-2002-Wag-2004,MDRAB,1999.67,638,The Netherlands,,,66,HCW,yes,database: nurse nasal passage,,
Acinetobacter-2002-Hua-1755,MDRAB,2000.58,61,"Taoyuan, Taiwan",,,6,HCW,yes,database,,
Acinetobacter-2001-Rob-1754,MDRAB,1998.83,120,"South Auckland, New Zealand",,,15,HCW+env,yes,database: intravascular pump support stand; the basket containing the suctioning equipment including water from the suction jug; the front panel of the ventilator control device; bed control and the door handle of the ante-chamber room through which all staff entering or exiting the burns rooms pass. The portable X-ray machine used within the ICU was also contaminated.,,
Acinetobacter-2001-Mah-1558,AB,1996.42,487,"Riyadh, Saudi Arabia",,,15,HCW,no,,,
Acinetobacter-2001-Fie-1757,MDRAB,1996.33,276,"Paris, France",,,13,unk,no,,,
Acinetobacter-2001-Lin-1753,AB,1996.08,242,Singapore,,,103,HCW,no,,,
Acinetobacter-2001-Pod-1795,MDRAB,1996.83,426,"Orange, USA",,,52,env,yes,"abstract:  ventilator water traps, sinks, and bedrails",,
Acinetobacter-2001-Jee-2333,MDRAB,1999.08,242,"Durban, South Africa",,,23,unk,no,,,
Acinetobacter-2000-Bou-3096,MDRAB,1997.08,303,Spain,,,29,unk,no,,,
Acinetobacter-2000-Ona-1783,MDRAB,1998.25,61,Norway,,,4,equip,yes,database: shower trolley,,
Acinetobacter-2000-Bou-702,MDRAB,1997.08,303,"Madrid, Spain",,,29,unk,no,,,
Acinetobacter-2000-D`A-857,MDRAB,1998.08,59,"Nashville, USA",,,18,unk,no,,,
Acinetobacter-2000-App-1914,MDRAB,1996.00,730,"Los Angeles, USA",,,96,unk,yes,,,
Acinetobacter-2000-Cor-1910,CRAB,1997.00,546,"Barcelona, Spain",,,262,env,yes,database,,
Acinetobacter-2000-Kap-810,AJ,1994.42,122,Germany,,,3,env,yes,database: water system,,
Acinetobacter-1999-Bie-701,MDRAB,1994.42,395,"Amiens, France",,,17,unk,no,,,
Acinetobacter-1999-de-811,AJ,,1277,"Leiden, The Netherlands",,,6,equip,yes,abstract: intravenous fat emulsion,,
Acinetobacter-1999-Pil-805,A spp.,1997.00,16,"Durban, South Africa",,,9,equip,no,,,
Acinetobacter-1999-Cat-804,AB,1996.00,212,"Buenos Aires, Argentina",,,15,env,no,database: isolates from bed rails but does not explain tranmission route,,
Acinetobacter-1999-Hus-854,AB,1995.17,212,"Cleveland, USA",,,14,HCW+env,no,,,
Acinetobacter-1999-Yoo-852,AB,1996.83,212,"Seoul, Korea",,,23,HCW+equip,yes,abstract: mechanical ventilator and hands,,
Acinetobacter-1999-Nee-1367,AB,1997.25,61,USA,,,9,HCW+env,no,,,
Acinetobacter-1999-Bie-2988,MDRAB,1994.42,395,"Amiens , France",,,17,unk,no,,,
Acinetobacter-1999-McD-1538,A spp.,1994.67,1064,"Edinburgh, UK",,,48,unk,no,,,
Acinetobacter-1998-Cox-1963,AB,1995.08,181,"Columbia, USA",,,16,unk,yes,,,
Acinetobacter-1998-Kap-1526,MDRAB,1996.25,181,"New Delhi, India",,,9,drug,yes,database: heparinized saline solution,,
Acinetobacter-1998-McD-872,A spp.,1996.58,7,"Atlanta, USA",,,8,drug,yes,database: IV,,
Acinetobacter-1998-Vil-869,AB,1989.67,365,France,,,11,unk,no,,,
Acinetobacter-1997-Hor-812,AB,1884.00,669,The Netherlands,,,43,unk,no,,,
Acinetobacter-1997-Ber-706,AJ,1995.83,30,"Leiden, The Netherlands",,,6,equip,yes,database: intravascular catheters,,
Acinetobacter-1997-Koe-1441,MDRAB,1994.92,151,"Amsterdam, The Netherlands",,,13,HCW,no,,,
Acinetobacter-1997-Aya-1528,MDRAB,1995.00,151,"Barcelona, Spain",,,21,unk,no,,,
Acinetobacter-1996-Ril-1934,MDRAB,1993.00,730,Australia,,,45,HCW,no,,,
Acinetobacter-1996-Deb-1439,AB,1993.00,546,"St. Radboud, The Netherlands",,,15,env,yes,"database: tap water, sinks, workplace surfaces, etc",,
Acinetobacter-1996-Kau-1473,AB,1993.25,122,"Toronto, Canada",,,48,equip+env,yes,"database: sinks, temperature probe, ventilator circuit component, filter",,
Acinetobacter-1996-Lev-853,MDRAB,1992.92,121,"São Paulo, Brazil",,,71,unk,no,,,
Acinetobacter-1996-Sne-700,AB,1992.92,10,Denmark,,,5,unk,no,,,
Acinetobacter-1995-Sce-1437,MDRAB,1992.75,123,"Houston, USA",,,25,unk,no,environment excluded,,
Acinetobacter-1995-Van-856,AB,1993.50,31,"Ghent, Belgium",,,5,unk,no,,,
Acinetobacter-1995-Van-855,A spp.,1993.25,30,"Ghent, Belgium",,,4,unk,no,,,
Acinetobacter-1995-Lyy-1516,MDRAB,1992.58,396,"Helsinki, Finland",,,35,env,yes,database: heat panels of an operation room and a patient room.,,
Acinetobacter-1995-Cro-814,MDRA spp.,1992.75,212,"Nottingham, UK",,,37,env,yes,database,,
Acinetobacter-1995-Wee-1520Acinetobacter spp,A spp.,1990.00,1095,"Hengelo, The Netherlands",,,137,env,yes,feather pillows,,
Acinetobacter-1995-She-1912,AB,1993.17,92,"Cork, Ireland",,,10,unk,no,,,
Acinetobacter-1995-Aub-1937,AB,1992.83,151,"Saint-Etienne, France",,,15,unk,no,,,
Acinetobacter-1994-Go-799,AB,1991.67,395,"New York, NY",,,59,HCW+env,yes,abstract,,
Acinetobacter-1994-Reb-790,AB,1990.25,153,"Philadelphia, Pennsylvania",,,50,unk,no,,,
Acinetobacter-1994-Tan-684,IRAB,1991.08,424,"Paris, France",,,31,env,yes,database: environment,,
Acinetobacter-1994-Ahm-1529,MDRAB,1988.00,31,"Jamaica, NY,USA",,,7,equip,yes,database: mouthpiece of a peak flow meter,,
Acinetobacter-1993-Dob-1524,AB,1992.00,59,Bad Elster. Germany,,,8,drug,yes,mixture of heparin and isotonic saline solution,,
Acinetobacter-1993-Sie-1568,AB,1984.00,1825," Tel Aviv, Israel",,,25,HCW,no,,,
Acinetobacter-1993-Gra-691,AB,1993.08,59,"Berlin, Germany",,,10,unk,no,,,
Acinetobacter-1993-Gra-692,MDRAB,1990.00,120,"Berlin, Germany",,,13,unk,no,,,
Acinetobacter-1991-Viv-1650,AB,1990.00,20,Chile,,,11,equip,yes,database: one laryngoscope and one oxymeter,,
Acinetobacter-1991-Pat-714,AB,1987.92,62,"New Haven, USA",,,9,HCW+equip,no,medication nebulizer and gloves,,
Acinetobacter-1990-Bre-693,AB,1988.00,365,"Innsbruck, Germany",,,9,unk,no,suspected IV,,
Acinetobacter-1990-Sch-716,AB,1988.00,365,"Bochum, FR Germany",,,41,equip,yes,abstract: air humidifiers,,
Acinetobacter-1990-Con-688,AB,1986.33,183,"Ottawa,  Canada",,,48,equip,yes,"database: temperature probes, oxygen monitor probes, and some pressure alarms",,
Acinetobacter-1990-Cef-1517,MDRAB,,30,"Newcastle, UK",,,6,equip,no,suspected equipment,,
Acinetobacter-1990-Bec-1486,MDRAB,1986.17,214,"Atlanta, USA",,,72,env+equip,yes,"database: transducers used for pressure monitoring, Four pressure-sensitive diaphragms (heads) and five domes in-use on four patients also as thirteen cultures from sets in-storage were positive ",,
Acinetobacter-1989-Vil-2025,MDRAB,1986.92,212,"Barcelona, Spain",,,25,unk,no,,,
Acinetobacter-1989-Kel-1440,MDRAB,1988.25,30,"Bombay, India",,,8,equip,yes,abstract: needles and methotrexate,,
Acinetobacter-1988-Van-1523,MDRAB,1984.00,273,"Utrecht, The Netherlands",,,11,equip+air,yes,database: valve reservoir in ventilator,,
Acinetobacter-1987-All-704,AB,1984.75,304,UK,,,36,HCW+env+air,yes,"abstract: hands, air, environment",,
Acinetobacter-1985-She-1398,AB,1981.00,273,USA,,,63,env,yes,database: mattress,,
Acinetobacter-1985-Ger-690,AL,1980.58,153,USA,,,8,env,no,database: suspected via room humidifier,,
Acinetobacter-1985-Sto-1518,MDRAB,1983.00,181,UK,,,10,equip,yes,database: mouthpiece on  'Ambu' bag used for resuscitation,,
Acinetobacter-1983-Gre-1426,MDRAB,1982.00,151,UK,,,17,equip,yes,database: patient washbowls,,
Acinetobacter-1983-Kan-710,AL,1978.83,61,USA,,,16,drug,no,abstract: dilute heparinized saline solution,,
Acinetobacter-1982-Car-689,AB,1978.58,184,USA,,,37,PTP,no,,,
Acinetobacter-1980-Cun-1530,MDRAB,1977.25,61,USA,,,19,equip,yes,Wright respirometers,,
Acinetobacter-1980-Low-1724,MDRAB,1979.00,365,UK,,,8,env+equip,yes,"database: pools of water, washer-pasteurizer, urine jugs",,
Acinetobacter-1980-Fre-1449,MDRAB,1979.00,181,UK,,,40,equip,yes,"database: washing bowls and a kidney dish, dialysis fluid, ventilator tubing and tracheal suction catheter",,
Acinetobacter-1978-Cas-1445,MDRAB,1976.00,31,USA,,,7,equip,yes,"database: respiratory care equipment, Wright respirometer, and Saline solution",,
Acinetobacter-1978-Abr-709,AB,1975.00,273,USA,,,17,equip,yes,abstract: 14/25 contaminated  peritoneal dialysate,,
Acinetobacter-1978-Bux-708,AB,1975.67,242,USA,,,44,HCW,yes,abstract: hand colonization,,
Acinetobacter-1977-Smi-699,AB,1975.92,151,USA,,,24,equip,no,abstract: humidifiers suspected,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
A. septicus,AS,,,,,,,,,,,
 Acinetobacter junii,AJ,,,,,,,,,,,
Acinetobacter ursingii,AU,,," A. baumannii is a frequent cause of nosocomial pneumonia, especially of late-onset ventilator associated pneumonia",,,,,,,,
Acinetobacter baumannii,AB,,,A. baumannii can survive on the human skin or dry surfaces for weeks.,,,,,,,,
 Acinetobacter lwoffi,AL,,,because of the bacteria's ability to colonize indwelling medical devices (such as catheters).,,,,,,,,
,,,,"ability of Acinetobacter species to adhere to surfaces, to form biofilms, and to display antibiotic resistance",,,,,,,,
,,,,"A. baumannii can survive on dry surfaces for up to 20 days, they pose a high risk of spread and contamination in hospitals,",,,,,,,,
,,,,,,,,,,,,
,,,,duplicates,1,,,,,,,
,,,,multiple species,3,,,,,,,
,,,,no duration,2,,,,,,,
,,,,,,,,,,,,
Carbapenem,C,,,,,,,,,,,
