Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments
Clostridium-2009-Bac-2759,Clostridium difficile,2008.5,304,"Copenhagen, Denmark",,,42,unk,no,
Clostridium-2009-Gra-2589,Clostridium difficile,2007,120,"Hannover, Germany",,,43,unk,no,
Clostridium-2009-Sal-2493,Clostridium difficile,2004.75,243,"Charleston, SC, USA",,,307,unk,no,
Clostridium-2009-Deb-2693,Clostridium difficile,2005.25,183,"Amersfoort, The Netherlands",,,50,unk,no,
Clostridium-2008-Deb-3050,Clostridium difficile,2005.33,549,"Harderwijk, The Netherlands",,,187,unk,no,
Clostridium-2008-Deb-3049,Clostridium difficile,2005.25,183,"Harderwijk, The Netherlands",,,50,unk,no,
Clostridium-2007-Dru-2652,Clostridium difficile,2003.58,184,"Dublin, Ireland",,,73,unk,no,
Clostridium-2007-Pol-2389,Clostridium difficile,2004,120,"Iowa City, USA",,,15,unk,no,
Clostridium-2007-Bil-2617,Clostridium difficile,2003.75,487,"Camp Hill, PA, USA",,,50,unk,no,
Clostridium-2006-CHE-2397,Clostridium difficile,2003.17,61,"Brussels, Belgium.",,,21,HCW,no,
Clostridium-2006-Kui-2219,Clostridium difficile,2005.25,122,"Leiden, the Netherlands",,,83,unk,no,
Clostridium-2006-Che-2361,Clostridium difficile,2003.17,61,"Brussels, Belgium.",,,21,HCW,no,
Clostridium-2006-Tac-2309,Clostridium difficile,2006,120,"Valenciennes, France",,,33,unk,no,
Clostridium-2005-Smi-2221,Clostridium difficile,2003.83,181,"Buckinghamshire, UK",,,330,unk,no,
Clostridium-2005-Pép-2747,Clostridium difficile,2003,546,"Sherbrooke,Canada",,,161,unk,no,
Clostridium-2005-McE-1703,Clostridium difficile,2001.25,365,"Pittsburgh, USA",,,48,unk,no,
Clostridium-2005-Pép-3016,Clostridium difficile,2003,546,"Sherbrooke, Canada",,,293,unk,no,
Clostridium-2005-Loo-2063,Clostridium difficile,2004,546," Montreal, Canada",,,1703,HCW+PTP,no,
Clostridium-2005-Mut-1730,Clostridium difficile,,730,"Pittsburgh,  USA",,,253,unk,yes,
Clostridium-2004-Sat-2080,Clostridium difficile,2001.08,181,"Chiba, Japan",,,10,unk,no,
Clostridium-2004-Egg-3077,Clostridium difficile,2003,546,"Sherbrooke, Canada",,,715,unk,no,
Clostridium-2004-Egg-3076,Clostridium difficile,2003,546,Canada,,,1400,unk,no,
Clostridium-2004-Gay-1347,Clostridium difficile,2001,819,"Atlanta, USA",,,37,unk,no,
Clostridium-2003-Blo-1407,Clostridium difficile,1996.58,122,"Paris, France",,,38,PTP,yes,
Clostridium-2003-Paz-1457,Clostridium difficile,2000.75,182,Ourense  Spain,,,12,unk,no,
Clostridium-2003-Kom-1685,Clostridium difficile,1999.92,365,"Nara, Japan",,,23,unk,no,
Clostridium-2002-Pul-1702,Clostridium difficile,1996.17,92,USA,,,14,HCW+env,yes,positive environmental screenings
Clostridium-2002-Mek-1701,Clostridium difficile,1995.17,61,"Chicago, USA",,,15,unk,no,
Clostridium-2001-Kui-1683,Clostridium difficile,1997.58,212,"Amsterdam, The Netherlands",,,24,unk,no,
Clostridium-2000-Han-490,Clostridium difficile,1995.33,31,"Houston, USA",,,5,bio,no,suspected via bone marrow transplantation
Clostridium-2000-Pop-429,Clostridium difficile,1998,151,UK,,,25,unk,no,
Clostridium-1999-Al--451,Clostridium difficile,1998.42,122,"Manitoba, Canada",,,16,unk,no,no environmental cultures
Clostridium-1999-Kyn-433,Clostridium difficile,1995,120,Ireland,,,73,unk,no,all patients attended endoscopy unit
Clostridium-1998-Syn-426,Clostridium difficile,1995,212,"Dublin, Ireland",,,138,equip,no,All underwent subtotal abdominal colectomy and ileostomy
Clostridium-1998-Cli-2163,Clostridium difficile,1993.83,151,"Virginia, USA",,,52,unk,no,
Clostridium-1998-Zad-2170,Clostridium difficile,1997,181,"Sheffield, UK",,,89,unk,no,
Clostridium-1998-Tea-2165,Clostridium difficile,1997.83,120,UK,,,16,env,no,suggested that thermal convection from the radiators resulted in dissemination of C. difficile spores to susceptible patients in the vicinity.
Clostridium-1997-McN-2161,Clostridium difficile,1994,485,UK,,,53,unk,no,
Clostridium-1997-Fer-455,Clostridium difficile,1993.92,151,"Paris, France",,,37,unk,no,
Clostridium-1996-Per-431,Clostridium difficile,1994,31,"Zaragoza, Spain",,,3,PTP,no,patients similar serotype
Clostridium-1996-Man-2186,Clostridium difficile,1990.58,122,"St Louis,  USA",,,26,HCW+env,no,contaminated blood pressure cuffs + gloves
Clostridium-1995-Tal-2188,Clostridium difficile,1993,181,"Besançon, France",,,22,HCW,no,HCW suggested
Clostridium-1993-Bar-458,Clostridium difficile,1992.33,92,France,,,8,PTP,no,PTP suggested
Clostridium-1990-Joh-449,Clostridium difficile,1983.17,92,"Minneapolis, USA",,,9,HCW,no,
Clostridium-1989-McK-432,Clostridium difficile,1987.33,61,"Glasgow, UK",,,6,unk,no,
Clostridium-1989-Has-452,Clostridium difficile,1987.42,61,UK,,,17,unk,no,
Clostridium-1989-Fou-454,Clostridium difficile,1987.17,61,"Sacramento, USA",,,8,equip,yes,bedpan highly contaminated
Clostridium-1988-Cla-457,Clostridium difficile,1985.42,92,"Minneapolis, USA",,,53,unk,no,
Clostridium-1988-Kaa-448,Clostridium difficile,1984.08,89,"Ann Arbor, USA",,,7,HCW+env,yes,floor and bathroom surfaces positive
Clostridium-1984-And-428,Clostridium difficile,1981.25,31,USA,,,20,unk,no,
,,,,,,,,,all checked,
,,,,,,,,,,overall little mentioned about transmission routes
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
