Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments
Escherichia-2010-Don-3057,ETEC,2007.75,31,,,,18,HCW,yes,"two healthcare workers were affected by ETEC, giving an incidence rate of 27.4%"
Escherichia-2010-Moi-2913,Escherichia coli,2009.17,35.00,"Paris, France",48.86,2.35,26,HCW,no,
Escherichia-2009-Als-2934,Escherichia coli,2005.67,242.00,"Kristianstad, Sweden",56.03,14.16,25,HCW,no,
Escherichia-2009-Vig-2735,MDREC,2003,730,"Houston, USA",,,58,unk,no,
Escherichia-2007-Fon-2636,Escherichia coli,2004.00,485.00,"Rome, Italy",41.89,12.49,3,unk,no,
Escherichia-2007-NAS-2453,Escherichia coli,2004.50,92.00,"Rogaland, Norway",59.15,6.01,9,unk,no,
Escherichia-2006-Afz-2236,Escherichia coli,2001.50,31,"Birmingham, UK",,,1,PTP,no,
Escherichia-2006-Pai-2137,Escherichia coli,2003.08,181.00,"Seoul, Korea",37.57,126.98,18,HCW,no,
Escherichia-2006-Pel-2299,Escherichia coli,2006.00,151.00,"Galway, Ireland",53.27,-9.05,24,unk,yes,
Escherichia-2006-Al-2280,Escherichia coli,2004.58,92.00,"Amsterdam, The Netherlands",52.37,4.9,4,unk,no,
Escherichia-2006-Rei-2203,Escherichia coli,2003.75,31,"California, USA",,,16,food,no,
Escherichia-2005-van-2076,Escherichia coli,2003.50,92.00,"Deventer, The Netherlands",52.25,6.16,8,unk,no,
Escherichia-2004-Fan-1652,Escherichia coli,2002.42,153.00,"Stockholm, Sweden",59.33,18.06,15,unk,no,
Escherichia-2004-Bol-1419,Escherichia coli,2002.75,31,"Charlottetown, Canada",,,2,food,no,suggested from hospital kitchen
Escherichia-2003-Wel-1381,Escherichia coli,2002.67,30,"Gšteborg, Sweden",,,0,unk,no,no evidence of secondary transmission
Escherichia-2003-Tan-1406,ETEC,2000.58,31,"Chandigarh, India",,,16,HCW+food,yes,hospital cook and his food
Escherichia-2002-Chi-1671,Escherichia coli,1996.75,31,"Buenos Aires, Argentina",,,7,PTP,no,
Escherichia-2002-Ma-1675,Escherichia coli,1996.00,669.00,"Tokyo, Japan",35.69,139.69,16,unk,no,
Escherichia-2001-O`B-1669,Escherichia coli,1997.33,31,"Glasgow, UK",,,16,food,yes,homemade icecream cakes - maybe unpasteurized milk suggested; epi stat evidence
Escherichia-2001-Pat-542,Escherichia coli,1998.08,28.00,"Pitsburgh, USA",40.44,-80,8,HCW,no,
Escherichia-2000-Wei-2177,Escherichia coli,1997.58,31,"New Yorkshire, England",,,3,HCW,yes,two nurses
Escherichia-2000-Dur-537,Escherichia coli,1998.42,30.00,"Wisconsin, USA",,,8,food,no,
Escherichia-1999-Guy-2742,Escherichia coli,1996.17,212,"London, UK",,,24,unk,no,
Escherichia-1999-Al--540,Escherichia coli,1995.58,61.00,"Cardiff, UK",,,27,PTP,no,
Escherichia-1999-Pal-3036,Escherichia coli,1997.75,27.00,"Warsaw, Poland",52.23,21.01,11,env,no,
Escherichia-1998-Che-531,Escherichia coli,1994.75,31.00,"London, UK",,,15,PTP,yes,
Escherichia-1997-Yoo-541,Escherichia coli,1994.75,92.00,"Seoul, Korea",,,8,unk,no,not from a single clone
Escherichia-1997-Pre-572,Escherichia coli,1995.83,30.00,"Toronto, Canada",,,8,food,no,
Escherichia-1997-Die-2180,Escherichia coli,1993.17,29.00,"Lowa City, USA",,,4,HCW,no,HCW suggested
Escherichia-1996-Cob-2181,Escherichia coli,1995.33,31.00,"Belgrade, Yugoslavia",,,12,unk,no,HCW negative
Escherichia-1992-Wu-580,Escherichia coli,1987.33,31.00,"Chongqing, China",,,69,HCW,yes,
Escherichia-1987-Car-570,Escherichia coli,1985.67,30.00,"Ottawa, Canada",,,55,PTP+food,no,food within nursing home and then PTP
Escherichia-1987-Kri-581,Escherichia coli,1985.67,30.00,,,,55,unk,no,
Escherichia-1986-Rya-575,Escherichia coli,1984.67,61.00,UK,,,34,food,yes,food (hamburger) within nursing home
Escherichia-1977-Hea-574,Escherichia coli,1974.083333,365.00,USA,,,20,PTP,no,
Escherichia-1977-Ryd-566,Escherichia coli,1975,274,USA,,,55,HCW,no,
Escherichia-1975-Boy-556,Escherichia coli,1972.58,274,USA,,,59,HCW,yes,HCW hands positive
Escherichia-1974-Row-571,Escherichia coli,1972.33,31,UK,,,6,PTP,no,suggested cross transmission
Escherichia-1973-Ken-562,Escherichia coli,1971.08,29,USA,,,12,unk,no,Cross infection occured at the primary site-a ward partitioned into cubicles- despite full barrier nursing techniques.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
