Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments
Enterobacter-2010-Kru-2855,ESBL EC,2007.42,183,"Freiburg, Germany",,,23,equip,no,
Enterobacter-2010-Ote-2903,EC,,91,"Madrid, Spain",,,3,unk,no,
Enterobacter-2007-Paa-3030,ESBL EC,2001,1460,"Utrecht, The Netherlands",,,480,env,yes,4 separate episodes
Enterobacter-2007-Cau-2659,DRES,1994.33,62,"Nottingham, UK",,,17,food,yes,formula and unopened powdered ifnant formula
Enterobacter-2007-Mor-2729,ESBL EC,2002.66,242,"Harayamadai, Japan",,,4,HCW,no,only found in patient urine samples
Enterobacter-2007-MAN-2446,ESBL EC,2005.5,92,"Barcelona, Spain",,,7,equip,no,
Enterobacter-2007-Fon-2638,ESBL EC,2004,516,"Rome, Italy",,,3,unk,no,
Enterobacter-2007-Cam-2628,EH,2004.25,61,Brazil,,,19,equip,yes,Total parenteral nutrition (TPN) solution contaminated by E. hormaechei
Enterobacter-2006-van-2136,MDREC,2005.08,120,,,,15,equip+env,yes,contaminated mattresses and transmission via contaminated aerosols
Enterobacter-2006-Bre-2307,EC,2004.25,61,"London, UK",,,5,equip,yes,contaminated ice slush used to achieve cardioplegia
Enterobacter-2006-Lev-2094,EC,2001.25,306,"Utrecht, The Netherlands",,,53,PTP,no,
Enterobacter-2005-Jia-1758,EC,2002.83,120,"Shanghai, China",,,27,unk,no,
Enterobacter-2004-Mac-3083,EC,2000.08,365,"Leon, Mexico",,,8,equip,yes,"blood culture, intravenous fluid, parenteral nutrition"
Enterobacter-2004-Tal-3092,EC,2002.92,31,"Besançon cedex, France",,,14,HCW,no,5 outbreaks
Enterobacter-2003-Kub-1781,EC,1995,730,"Sao Paulo, Brazil",,,42,unk,no,
Enterobacter-2003-Gan-1413,EG,2000.83,30,"Johor Bahru, Malaysia",,,11,HCW+equip,no,"dextrose saline, and hands "
Enterobacter-2003-Sel-1752,EC,2001.08,59,"Atlanta, USA",,,5,equip,no,"environmental exluded, HCW excluded, fluids excluded; suspected Ranitidine IV"
Enterobacter-2003-Sal-1767,ESBL EC,2000.92,62,"Madrid, Spain",,,10,unk,no,
Enterobacter-2002-Gos-153,EA,2000.583333,31,"Niigata, Japan",,,4,equip,yes,contaminated stopcock connected to indwelling catheter (IV)
Enterobacter-2002-Kam-2741,MDREC,1997.75,304,"Warsaw, Poland",,,16,unk,no,
Enterobacter-2002-Kar-217,EC,1998.583333,699,"Thessaloniki, Greece",,,19,HCW,no,
Enterobacter-2002-Liu-1786,MDREC,1996.75,182,"Taichung, Taiwan",,,13,unk,yes,"excluded environment, only one isolate from HCW hands"
Enterobacter-2002-v D-224,EC,1999.92,150,"Utrecht, The Netherlands",,,15,equip,yes,contaminated thermometer
Enterobacter-2001-Don-2381,EC,1999.92,121,"Postbus, Amsterdam",,,26,equip,yes,contaminated rectal thermometers
Enterobacter-2001-Fer-215,EC,1997.416667,60,"Palma de Mallorca, Spain",,,3,unk,yes,excluded HCW
