Matchcode,Resistance,Start of outbreak,Duration (days),Country,Latitude,Longitude,Cases (patient),Transmission,Molecular Evidence,Hospital Size (number of beds),Comments on Transmission,
Enterococcus-1989-Utt-1927,VRE,1986.83,547.00,UK,0,0,41,unk,yes,32,,
Enterococcus-1993-Han-1718,VRE,1990.75,273.00,USA,0,0,17,HCW,yes,,suspected,
Enterococcus-1994-Mon-1602,VRE,1991.42,365.00,USA,0,0,29,unk,no,,,
Enterococcus-1994-Jor-611,VRE,1992.25,91.00,UK,0,0,22,HCW,yes,,suspected,
Enterococcus-1996-Cha-1906,VRE,1992.67,973.00,UK,0,0,35,env,yes,,,
Enterococcus-1996-Bia-1725,VRE,1992.83,212.00,Italy,0,0,8,unk,no,,,
Enterococcus-1998-Sav-1966,VRE,1992.92,212.00,USA,0,0,26,unk,no,,,
Enterococcus-1995-Edm-1900,VRE,1993.25,275.00,USA,0,0,11,unk,no,,,
Enterococcus-1998-Lai-834,VRE,1993.33,1187.00,USA,0,0,359,HCW,no,347,,
Enterococcus-2000-Pes-1694,VRE,1994.00,730.00,Spain,0,0,16,unk,no,,,
Enterococcus-1997-Lav-1944,VRE,1994.08,181.00,"Dublin, Ireland",0,0,18,HCW+equip+env,yes,,"database: office computers, toilets, showers, pumps and bed-pan washers",
Enterococcus-1997-Cha-1909,VRE,1994.25,122.00,UK,0,0,49,env+equip,yes,,"database: tables, chairs, mattresses, used linen, washbowls, pedal bin lids, commodes, bedpan holders, urinary catheter bag holders, taps, toilet seats and toilet flush handles",
Enterococcus-1998-Bro-1958,VRE,1995.00,273.00,"Edinburg, UK",55.95,-3.2,30,unk,no,,,
Enterococcus-2000-Bel-1739,VRE,1995.17,365.00,"Atlanta, GA, USA",33.75,-84.39,24,unk,no,,,
Enterococcus-1998-Hwa-1722,VRE,1995.33,457.00,"Salt Lake City, UT, USA",40.76,-111.89,10,equip,yes,,abstract: possibly HCW or equipment,
Enterococcus-1996-Lio-1534,VRE,1995.50,153.00,"Toronto, Canada",43.65,-79.38,42,env,yes,,call bells positive for VRE,
Enterococcus-1997-Rob-1968,VRE,1995.75,123.00,"Hamilton, Canada",43.24,-79.89,18,env,yes,N/A,Toliets,
Enterococcus-1997-Tor-1695,VRE,1995.83,120.00,"Upsala, Sweden",59.86,17.64,4,unk,yes,,,
Enterococcus-1998-Nou-1711,VRE,1995.92,121.00,"Dublin, Ireland",53.34,-6.27,10,env,yes,22 U,"abstract. Also PTP, HCW",
Enterococcus-1999-Arm-901,VRE,1996.08,28.00,"Toronto, Canada",43.65,-79.38,5,env,yes,,results section 5/68 samples,
Enterococcus-1999-McC-2099,VRE,1996.17,92.00,UK,55.38,-3.44,12,HCW,no,,database; PTP,
Enterococcus-1998-Sch-1717,VRE,1996.17,122.00,"Munich, Germany",48.14,11.56,24,env,no,,database: suspected,
Enterococcus-2000-Els-1708,VRE,1996.25,395.00,Germany,51.17,10.45,31,unk,yes,,VRE detected on one toy,
Enterococcus-2000-Fal-1715,VRE,1996.42,396.00,"Galveston, TX, USA",29.3,-94.8,21,env,yes,,database; VRE on 20% of surfaces,
Enterococcus-1998-For-1905,VRE,1996.67,122.00,"Montreal, Canada",45.51,-73.55,20,env,yes,,"database:chest of drawers, telephone, toilet, mattress cover were VRE positive",
Enterococcus-2001-Han-1532,VRE,1996.83,120.00,"Houston, TX, USA",29.76,-95.37,17,env,no,417,suspected,
Enterococcus-2000-Kaw-1956,VRE,1996.92,1126.00,"Gdansk, Poland",54.35,18.65,128,unk,no,,,
Enterococcus-1997-Riz-604,VRE,1996.92,31.00,"Belfast, Ireland",54.58,-5.94,7,env,yes,N/A,"database: 3/24 environmental sites contaminated including mattress, bedframe, sluice bowl",
