   ,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments,,,,,
Hepatitis-2010-Cou-2864,HBV,2006.42,214,"Oak Park, USA",,,8,equip,yes,abstract: seven of 21 residents (33.3%) receiving fingerstick blood glucose monitoring had evidence of recent HBV infection.,,,,,
Hepatitis-2009-Pou-2602,HBV,2004.5,1095,"Leuven, Belgium",,,42,equip,yes,suspected multiple use syringe/needle; All HBV genotype A strains from the patients are nearly identical,,,,,
Hepatitis-2007-Szo-2616,HBV,2001,1185,"Budapest, Hungary",,,29,unk,no,,,,,,
Hepatitis-2007-Ram-2731,HBV,1995.92,90,"London, UK",,,2,HCW,yes,all genotype E and patients of the same HCWs,,,,,
Hepatitis-2007-Har-2650,HBV,2001.92,700,"London, UK",,,4,unk,no,suspected glove contamination during surgery,,,,,
Hepatitis-2006-Dre-2093,HBV,2001.25,2001.122,"Hannover, Germany",,,17,unk,no,"suspected alcohol dispenser, swabs, gloves",,,,,
Hepatitis-2006-Bra-2166,HBV,2001.92,31,"Apartado, Spain",,,3,unk,no,,,,,,
Hepatitis-2006-Ino-3007,HBV,,152,"Honshu, Japan",,,7,unk,no,,,,,,
Hepatitis-2006-ROS-2455,HBV,1984.5,3620,"Paris, France",,,86,PTP,yes,Patient-to-patient transmission during TEB sessions was demonstrated by the virological and the case-control studies. This transmission occurred without evidence of blood contact through vials or devices. There is strong evidence that this transmission may be due to the spread of infective blood droplets on the environmental surfaces and the material during the TEB procedure.,,,,,
Hepatitis-2005-De-1922,HBV,2002.92,121,"Antwerp, Belgium",,,5,equip,yes,suspected blood contaminated platform of the shared finger-stick device; Diabetic patients who were exposed to a shared finger-stick device for blood sampling were 10.7 times more likely to contract an acute HBV infection (RR 10.7; 95% CI 1.3-91.3),,,,,
Hepatitis-2005-Cen-1734,HBV,2003.42,61,USA,,,11,equip,yes,contaminated glucometer for blood glucose monitoring,,,,,
Hepatitis-2005-Cen-1732,HBV,2003.42,214,USA,,,15,equip,yes,contaminated glucometer for blood glucose monitoring,,,,,
Hepatitis-2005-Cen-1733,HBV,2003.33,276,USA,,,8,equip,yes,contaminated glucometer for blood glucose monitoring,,,,,
Hepatitis-2005-Sam-1916,HBV,2000.08,758,"Atlanta, USA",,,38,drug,yes,contaminated medication with blood,,,,,
Hepatitis-2004-Mis-1680,HBV,,30,"Parma, Italy",,,6,drug,yes,suspected heparin solution,,,,,
Hepatitis-2004-Com-2877,HBV,1999.5,1157,"Oklahoma City, USA",,,31,equip,yes,same syringe used for all patients,,,,,
