Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments,
Hepatitis-2010-Lan-2945,HCV,2005.5,92,"Rome, Italy",,,13,drug,yes,multi-dose heparin contamination,
Hepatitis-2010-Fis-2870,HCV,2007.5,92,USA,,,8,equip,yes,reused syringes,
Hepatitis-2010-Gon-2820,HCV,2005.92,31,"València, Spain",,,2,equip,no,,
Hepatitis-2009-Mai-2601,HCV,2000.17,2861,"Omaha, NE, USA",,,64,drug,yes,database: intravenous contaminated saline,
Hepatitis-2008-Spa-2596,HCV,2003.25,214,"Rome, Italy",,,4,equip,no,dialysis equipment suspected,
Hepatitis-2008-Pan-2806,HCV,200457,122,"Barcelona, Spain",,,4,HCW,yes,Viral molecular analysis showed identity between isolates from cases with acute and chronic hepatitis C.,
Hepatitis-2008-Lab-2524,HCV,2007.5,184,"Nevada, USA",,,6,equip,yes,reused syringes,
Hepatitis-2007-PEK-2434,HCV,2004,31,"Stara Zagora, Bulgaria",,,6,equip,no,suspected reused syringes,
Hepatitis-2007-She-3022,HCV,2001.58,761,"Beer Sheva, Israel",,,33,HCW,yes,anesthesiologist,
Hepatitis-2007-Eng-2622,HCV,2002,1246,"Parana State, Brazil",,,32,unk,no,,
Hepatitis-2007-Hma-3107,HCV,2001.83,212,Tunisia,,,4,equip,no,,
Hepatitis-2007-deL-2375,HCV,1970,7300,"Pessac, France",,,196,HCW+equip,yes,contaminated intravenous sclerotherapy agent ampoules,
Hepatitis-2006-Pat-2370,HCV,2004.75,31,USA,,,16,drug,yes,All patients received radiopharmaceutical injections drawn from a single pharmacy vial 1 with contaminated blood; 97.8%-98.5% similarity,
Hepatitis-2005-Ish-1844,HCV,2000.92,304,"Fukaya, Japan",,,11,drug,no,Transmission may have occurred via parenteral medical procedures; HCV isolates were divided into three major groups using phylogenetic tree analysis.,
Hepatitis-2005-Cas-1860,HCV,2001.33,153,Spain,,,18,unk,no,,
Hepatitis-2005-deO-2753,HCV,2000.17,518,USA,,,99,equip,yes,disposable syringe reuse and contamination of shared saline bags,
Hepatitis-2005-Bra-1843,HCV,2002.17,92,Spain.,,,9,unk,no,,
Hepatitis-2005-Fau-1918,HCV,2001.17,31,"Rome, Italy",,,6,equip,no,,
Hepatitis-2005-Wie-2024,HCV,1978.58,243,East Germany,,,1833,bio,no,"After application of the contaminated anti-D, 93% of the recipients developed an acute hepatitis C",
Hepatitis-2005-Sav-1917,HCV,2001,396,"Lyon, France",,,22,HCW+equip,no,connection to dialysis machine increased risk,
Hepatitis-2005-Ger-1915,HCV,2001.83,30,"Paris, France",,,4,equip,yes,Molecular characterization revealed close homology between viruses; multidose vials and multi-use syringes,
Hepatitis-2004-Spa-1542,HCV,1992,3285,"Rome, Italy",,,5,equip,yes,"suspected intravenous catheters; All children, but not the health care worker, showed genotype 3a",
Hepatitis-2004-Fur-2850,HCV,2000.67,31,"Fukuoka, Japan",,,5,drug,yes,suspected shared heparin source; All AH-C patients had the same sequencing of the 6 variations in the region with the only other patient,
Hepatitis-2003-Kra-1336,HCV,1998.83,92,"Florida, USA",,,5,drug,no,suspected contaminated saline,
Hepatitis-2003-Kra-2851,HCV,1998.83,30,USA.,,,3,drug,no,suspected blood contaminated saline,
Hepatitis-2003-Hma-3111,HCV,2001.83,212,Tunisia,,,2,HCW,no,6 variable genotypes,
Hepatitis-2003-Ans-2053,HCV,1996.33,304,"Trieste, Italy",,,26,equip,yes,suspected blood contaminated equipment,
