Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments
Legionella-2010-Tro-2940,Legionella pneumophila,2010.58,31,Slovenia,,,15,env,yes,
Legionella-2009-Bou-2498,Legionella pneumophila,2007.92,62,Spain,,,3,env,yes,
Legionella-2007-Gil-2814,Legionella pneumophila,2005.67,61,Canada,,,47,env,yes,
Legionella-2007-GUD-2436,Legionella pneumophila,2005.08,59,"Barcelona, Spain",,,12,env,yes,
Legionella-2007-Pha-2726,Legionella pneumophila,2004.67,61,"Atlanta, USA",,,7,env,yes,
Legionella-2006-Oze-1933,Legionella pneumophila,2004.42,61,"Malatya, Turkey",,,3,env,yes,
Legionella-2005-Che-2034,Legionella pneumophila,2000,243,"Kaohsiung, Taiwan",,,81,env,yes,
Legionella-2005-CHE-2423,Legionella pneumophila,2000,243,"Kaohsiung, Taiwan",,,81,env,yes,
Legionella-2004-Sak-1492,Legionella pneumophila,2002.42,30,"Fukushima, Japan",,,8,env,yes,
Legionella-2004-Ber-1423,Legionella pneumophila,1993.17,214,"Stockholm, Sweden",,,8,env,yes,hot water system
Legionella-2004-Ter-1986,Legionella pneumophila,1991.33,92,"Ljubljana, Slovenia",,,7,env,yes,hot water system
Legionella-2003-Ber-1420,Legionella pneumophila,1996,1460,"Stockholm, Sweden",,,18,env,yes,hot water system
Legionella-2003-Lev-1792,Legionella pneumophila,2000.42,30,"Marseille, France",,,3,env,yes,tap
Legionella-2002-Per-1101,Legionella pneumophila,1995.58,31,"Kuopio, Finland",,,4,env,yes,hot water system
Legionella-2002-Ore-1100,Legionella pneumophila,2000.42,61,"Haifa, Israel",,,4,env,yes,hot water system
Legionella-2000-Kni-101,"Legionella micdadei
",1995,669,USA,,,15,env,yes,hot water system sinks
Legionella-2000-Bor-144,Legionella pneumophila,1992,365,"Albany, USA",,,2,equip+env,yes,"aspiration of nasogastric tube solutions, which were diluted with contaminated tap water."
Legionella-2000-Jon-181,Legionella pneumophila,1992,2555,"Freiburg, Germany",,,29,env,yes,
Legionella-1998-Ber-1114,Legionella pneumophila,1992,1095,France,,,6,env,yes,
Legionella-1998-Koo-1989,Legionella pneumophila,1987,3558,"Atlanta,  USA",,,25,env,yes,
Legionella-1998-Lep-1983,Legionella pneumophila,1994.25,214,"Atlanta, USA",,,20,env,yes,
Legionella-1994-Koc-197,Legionella pneumophila,1992.25,10,"Sydney, Austrilia",,,26,unk,no,
Legionella-1994-Dar-142,Legionella pneumophila,1990.92,90,"VŠrnamo, Sweden",,,3,env,yes,
Legionella-1994-Pro-2020,Legionella pneumophila,1985,3040,"Innsbruck, Austria",,,14,env,yes,
Legionella-1994-Pat-155,Legionella pneumophila,1990.42,153,USA,,,3,env,yes,
Legionella-1993-Nec-130,Legionella pneumophila,1993,70,"Klinikum Bayreuth, Germany",,,10,env,yes,
Legionella-1993-Bla-176,Legionella pneumophila,1998,365,USA,,,14,env,yes,
Legionella-1992-Str-121,Legionella pneumophila,1985.75,730,Belgium,,,32,env,yes,
Legionella-1992-Mem-214,Legionella pneumophila,1983.17,305,"Ottawa,  Canada",,,10,env,yes,
Legionella-1992-Mem-213,Legionella pneumophila,1988.92,396,"Ottawa, Canada",,,3,env,yes,
Legionella-1992-Mae-211,Legionella pneumophila,1990.92,62,"Nagasaki , Japan",,,9,unk,no,
Legionella-1991-Mas-2071,Legionella pneumophila,1984,1825,"Atlanta, USA",,,13,env,yes,
Legionella-1994-Pat-155,Legionella pneumophila,1990.42,153,USA,,,3,env,yes,
Legionella-1991-Hei-117,Legionella pneumophila,1989,61,USA,,,3,env,yes,
Legionella-1990-O`M-172,Legionella pneumophila,1984.83,426,"London, UK",,,193,env,yes,
Legionella-1990-Tra-115,Legionella pneumophila,1987.17,92,"Paris, France",,,4,env,yes,
Legionella-1990-Tra-114,Legionella pneumophila,1986,546,"Paris, France",,,6,unk,no,
Legionella-1990-Tra-3033,Legionella pneumophila,1987.17,92,"Paris, France",,,4,env,yes,
Legionella-1988-Mar-1108,Legionella pneumophila,1984.42,61,Canada,,,8,env,yes,
Legionella-1988-Str-201,Legionella pneumophila,1985.83,120,"Johannesburg, South Africa",,,2,env,yes,
Legionella-1987-Gui-223,Legionella pneumophila,1982.83,151,"Paris, France",,,47,env,yes,preheating tank
Legionella-1987-Joh-183,Legionella pneumophila,1984.33,7,USA,,,4,env,yes,"Potable water, cooling tower aerosols."
Legionella-1987-Han-145,Legionella pneumophila,1985.83,30,"Glasgow, UK",,,15,env,yes,hot water system
Legionella-1986-Mar-221,Legionella pneumophila,1984.42,61,Canada,,,8,env,yes,potable water
Legionella-1986-Pal-133,Legionella pneumophila,1985,365,USA,,,2,env,yes,water supply
Legionella-1986-Jol-193,Legionella pneumophila,1984.17,337,"Quebec ,Canada",,,5,env,yes,nebulizers
Legionella-1985-Sha-140,Legionella pneumophila,1977.33,1034,USA,,,25,env,yes,potable water
Legionella-1985-Nei-135,Legionella pneumophila,1981.67,35,"Paris, France",,,6,env,yes,
Legionella-1985-Gar-127,Legionella pneumophila,1983.42,92,"Rhode Island, USA",,,15,env,yes,
Legionella-1984-Nol-1105,Legionella pneumophila,1982.33,92,USA,,,4,env,yes,
Legionella-1984-Rud-180,Legionella pneumophila,1979.42,1490,USA,,,27,unk,no,
Legionella-1984-Col-1103,Legionella pneumophila,1981.58,31,UK,,,2,env,yes,
Legionella-1983-Col-174,Legionella pneumophila,1988.5,304,"Nottingham, UK",,,12,env,yes,
Legionella-1982-Arn-2030,Legionella pneumophila,1980.42,153,USA,,,5,env,yes,
Legionella-1980-Don-2083,Legionella pneumophila,1978.56,61,"Memphis,ÊUSA",,,16,env,yes,
,,,,,,,,all checked,,mostly hot water system
,,,,,,,,,,
,,,,,,,,,,
Unknown = 0,,,,,,,,,,
HCW = 1,,,,,,,,,,
Env = 2,,,,,,,,,,
Equip = 3,,,,,,,,,,
Multi = 4,,,,,,,,,,
Food = 5,,,,,,,,,,
Drug = 6,,,,,,,,,,
Bio = 7,,,,,,,,,,
Other = 8,,,,,,,,,,
,,,,,,,,,,
Excluded because this is two separate outbreaks:,,Legionella-2008-Brž-3116,,,,,,,,
,,,,,,,,,,
Excluded because of an unusually long duration:,,Legionella-2007-Sca-2605,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
