Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments
Salmonella-2009-Ani-2507,Salmonella Typhimurium,2005.17,31,"Izmir, Turkey",,,22,unk,no,
Salmonella-2009-Boe-2562,Samonella Tenessee,2006.92,62,"Atlanta, USA",,,12,HCW+equip+env,yes,"two of 40 staff members, and 6 of 42 environmental samples"
Salmonella-2008-JAN-2457,Salmonella Enteritidis,,140,"Berlin, Germany",,,28,HCW+food,yes,and stools of 5 kitchen personnel
Salmonella-2008-Jan-2546,Salmonella Enteritidis,2007.00,181,"Berlin, Germany",,,28,HCW+food,yes,and stools of 5 kitchen personnel
Salmonella-2007-Fra-2836,Salmonella Enteritidis,2006.58,31,"Berlin, Germany",,,94,food,yes,cake delivered to nursing home
Salmonella-2007-Wad-2393,Salmonella enterica,2004.17,306,India,,,7,HCW,no,
Salmonella-2007-Kay-2643,Salmonella enterica,1999.5,1704,"Jacksonville, FL, USA.",,,19,unk ,no,
Salmonella-2007-GIK-2451,Salmonella Enteritidis,2005.5,31,Greece,,,86,HCW+food,yes,contaminated food and kitchen staff in the hospital
Salmonella-2007-Fra-2490,Salmonella Enteritidis,2006.58,31,"Berlin, Germany",,,94,food,yes,cake in the hospital
Salmonella-2007-Bow-2655,Salmonella Enteritidis,2004,485,"Atlanta, USA.",,,17,unk,no,
Salmonella-2006-Ars-2207,Salmonella Oranienburg,1994.42,518,USA,,,93,HCW+food,no,suspected food and asymptomatic staff
Salmonella-2006-Elw-2206,Salmonella Javiana,2003.33,61,"St. Loui, USA",,,4,food,no,
Salmonella-2006-WAD-2411,ESBL,2000,31,"Johannesburg, South Africa",,,41,env,yes,beds and cubicles
Salmonella-2006-Wad-2311,ESBL,2000,730,"Johannesburg, South Africa",,,41,env,yes,beds and cubicles
Salmonella-2006-Kta-2193,Salmonella Livingstone,1999.83,1034,Tunisia,,,74,env,no,
Salmonella-2005-Hei-2118,Salmonella Enteritidis,2004.5,14,Germany,,,37,food,yes,epidemiological outbreak curve pointed towards a foodborne transmission in hospitals and nursing homes
Salmonella-2005-Bou-1852,ESBL,2002.5,31,Tunisia,,,16,unk,yes,food excluded
Salmonella-2005-Ala-2110,Salmonella Typhimurium,2004.33,31,"Sydney, Australia",,,12,HCW,no,
Salmonella-2005-Yon-1941,ESBL,2004.42,30,"Seoul, Korea.",,,3,unk,no,
Salmonella-2004-Gua-1653,Salmonella Enteritidis,1998.33,214,"Barcelona, Spain.",,,22,food,yes,egg in kitchen positive
Salmonella-2004-LuP-2779,Salmonella Enteritidis,2001.5,62,"Kaohsiung, Taiwan",,,28,unk,no,bread (prior to hospital admission)
Salmonella-2004-Mat-1657,Salmonella Enteritidis,1999.92,62,"S‹o Paulo, Brazil.",,,8,food,yes,diet powder contained lyophilized albumin extracted fro eggs that could have been the source of salmonella infection.
Salmonella-2003-Gha-1833,Salmonella Worthington,1996.08,28,India,,,5,unk,no,
Salmonella-2003-Bru-1397,,,,,,,,unk,no,
Salmonella-2002-Pes-1788,Salmonella Infantis,1998.5,365,"Rio de Janeiro, Brazil",,,140,equip+env,yes,intravenous catheter statistically significant
Salmonella-2002-Bor-1656,Salmonella Saintpaul,2001.08,28,"Seattle, USA",,,11,PTP,no,
Salmonella-2001-Joh-2244,Salmonella Infantis,1996.83,92,"Minneapolis, USA",,,18,equip,yes,cutting board
Salmonella-2001-Met-2250,Salmonella Enteritidis,1998.83,30,Gemany,,,17,food,yes,meal prepared by nurse
Salmonella-2001-Doh-1721,Salmonella Enteritidis,1999.58,31,"Nagasaki, Japan",,,62,food,yes,infected egg
Salmonella-2001-Mas-1838,Salmonella Indiana,2000.92,31,UK,,,9,food,yes,egg mayonnaise
Salmonella-2001-Ols-484,Salmonella enterica,1996.08,1064,Oregon. USA,,,11,PTP,no,
Salmonella-2000-Mag-504,Salmonella enterica,1994.83,30,"London, UK",,,2,food+HCW,yes,food handler in hospital
Salmonella-2000-De-2246,Salmonella Infantis,1996.25,30,"Rio de Janeiro, Brazil",,,9,unk,no,
Salmonella-2000-Kis-2287,Salmonella Enteritidis,1995.75,31,"ÊBonn, Germany",,,43,food,no,vanilla pudding; unconfirmed
Salmonella-2000-Sio-476,Salmonella Enteritidis,1997.75,31,Belgium,,,34,food,yes,in ground beef preparation
Salmonella-1999-McC-477,Salmonella Typhimurium,1996.92,6,"Upper Mt Gravatt, Australia",,,25,food,yes,assorted sandwiches in the hospital
Salmonella-1998-Kha-475,Salmonella Senftenberg,1997.33,123,USA,,,11,equip+food,yes,food blender used in hospital
Salmonella-1998-Buc-1066,Salmonella Typhimurium,1996.58,212,India,,,23,HCW,yes,stools of nurse
Salmonella-1998-Rev-2249,ESBL,1995.58,31,"Delhi, India",,,8,HCW,no,
Salmonella-1997-Gre-2242,Salmonella Enteritidis,1996.58,31,Ireland,,,36,food,no,outside hospital
