Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments
Pseudomonas-1966-Moo-249,PA,1964.00,181,UK,0,,37,equip,yes,contaminated rectoscopes and Bigelow evacuator
Pseudomonas-1965-Ayl-2240,PA,1964.00,276,UK,0,,11,equip,no,contaminated shaving brush
Pseudomonas-1966-Ayl-229,PA,1964.58,31,UK,0,,15,drug,yes,contaminated saline solution
Pseudomonas-1979-Kie-251,PA,1967.17,31,Germany,0,,9,HCW+env,yes,"contamined faeces samples from nurses and drains of bathtubs, soap dishes, disinfectants in thermometer receptacles"
Pseudomonas-1972-Fal-404,PA,1970.00,365,Brazil,0,,31,HCW+equip,yes,database: HCW suspected & water in oxygen bubbler
Pseudomonas-1973-Bob-359,PA,1971.08,89,USA,0,,9,env+equip,yes,contaminated suction equip
Pseudomonas-1975-Tho-112,PA,1971.58,273,Brazil,0,,27,equip,yes,contaminated dextrose solutions. Contaminated O2 humidifier.
Pseudomonas-1977-Fal-376,GTRPA,1975.08,89,USA,0,,6,HCW+equip,yes,contaminated urine bottles and bedpans and hands of HCW
Pseudomonas-1978-Mar-163,MDRPA,1975.92,638,Canada,0,,66,equip,yes,contaminated urine measuring containers
Pseudomonas-1979-Sti-1557,PA,1976.08,212,Canada,0,,7,equip,yes,contaminated suction equipment
Pseudomonas-1979-Bri-644,GRPA,1977.42,457,UK,0,,251,HCW,no,suspected PTP
Pseudomonas-1989-Ric-2266,MDRPA,1978.58,153,France,0,,98,unk,yes,
Pseudomonas-1981-Fuj-1424,GRPA,1979.00,608,UK,0,,67,env,yes,contaminated mattress
Pseudomonas-1982-Fal-276,MDRPA,1979.17,92,USA,0,,5,unk,yes,some env and equip contamination found
Pseudomonas-1981-Smi-268,MDRPA,1979.17,396,USA,0,,14,unk,no,
Pseudomonas-1981-McG-310,PA,1979.33,61,USA,0,,10,env,yes,contaminated hydrotherapy tank
Pseudomonas-1981-Hou-396,PA,1979.75,92,UK,0,,13,env,yes,contaminated tap water
Pseudomonas-1983-Per-103,MDRPA,1980.67,395,UK,0,,9,HCW,no,suscpected HCW
Pseudomonas-1984-Tal-227,PA,1981.83,120,USA,0,,5,equip,yes,contaminated urology equipment
Pseudomonas-1984-Cry-336,PA,1983.33,61,Ireland,0,,4,equip,yes,contaminated endoscope
Pseudomonas-1985-Ste-321,PA,1984.00,59,UK,0,,8,equip,yes,suspected thymol mouthwash
Pseudomonas-1986-Sch-319,PA,1984.00,61,Canada,0,,10,env,yes,contaminated physiotherapy pool
Pseudomonas-1987-Sie-322,MDRPA,1985.17,61,Isreal,0,,2,equip,yes,contaminated endoscope
Pseudomonas-1988-Cla-405,PA,1985.58,365,USA,0,,7,unk,yes,contaminated endoscopes
Pseudomonas-1989-Gar-372,MDRPA,1986.17,61,Argentina,0,,8,equip,no,suggested contamination of respirators
Pseudomonas-1991-Alv-2511,PA,1986.75,607,USA,0,,115,equip,yes,"contaminated detergent holding tank, inlet water hose, air vents and reprocessing machine for endoscopes"
Pseudomonas-1992-Ros-107,MDRPA,1987.17,396,Spain,0,,32,HCW,no,suspected HCW
Pseudomonas-1992-Tre-375,PA,1987.83,120,Canada,0,,3,env,yes,contaminated hydrotherapy equipment
Pseudomonas-1995-Fil-686,PA,1988.17,184,USA,0,,20,equip,yes,contaminated food dye
Pseudomonas-1989-Wor-118,PA,1988.25,184,"Sydney, Australia",0,,29,equip,yes,suspected contaminated respirators
Pseudomonas-1993-Gri-119,PA,1988.42,122,"Hangzhou, China",0,,11,env,yes,positive env contamination 
Pseudomonas-1991-Bou-371,TRPA,1989.75,61,"Tainan, Taiwan",0,,5,HCW,no,suspected HCW
Pseudomonas-1993-Kol-329,PA,1990.75,212,Denmark,0,,9,env,yes,contiminated tap water used for irrigation of wounds
Pseudomonas-1993-Wid-266,PA,1990.83,30,"Denver, USA",0,,67,env+equip,no,suspected HCW
Pseudomonas-1991-Ric-657,PA,1991,608,"Nantes, France",,,16,env,yes,database: contamination of main water supply and the sink of the hydrotherapy tank and from the straps of the hydrotherapy equipment
Pseudomonas-1995-Bec-331,PA,1991.416667,122,"Green Bay, USA",,,10,HCW+equip,yes,database: contaminated hand lotion
Pseudomonas-1993-Sad-341,MDRPA,1991.416667,92,"Sao Paulo, Brazil",,,14,equip,yes,abstract: tracheal aspirates
Pseudomonas-1995-Tal-314,PA,1991.66,61,"Basancon, France",,,17,unk,no,
Pseudomonas-1994-Jum-393,MDRPA,1991.83,212,"London, UK",,,13,equip,yes,database: suspected contamination of quivers used for storing suction tubing between use of ventilated patients
Pseudomonas-1996-Cen-339,PA,1992.66,61,Thailand,,,4,equip,yes,database: contaminated salt solutions
Pseudomonas-1995-Gru-413,PA,1992.75,61,"Freiburg im Breisgau, Germany",,,5,unk,no,
Pseudomonas-1994-Krc-110,PA,1993,212,Slovak Republic,0,,41,unk,no,
Pseudomonas-2005-War-1951,MDRPA,1993.42,4168,Canada,0,,28,env,yes,contaminated valve of cold water line. Infection spread suspected as having been spread via HCW
Pseudomonas-1995-Ker-106,PA,1993.50,92,UK,0,,10,HCW+env,yes,"abstract:  contamination of sink plug-hole in two rooms, and the tap handles and ventilator tubing and suspected HCW"
Pseudomonas-2000-Ber-698,MDRPA,1994.00,424,USA,0,,7,env,yes,Contaminated whirlpool tub
Pseudomonas-1996-Cob-406,PA,1994.00,181,Belgium,0,,21,equip,yes,contaminated nebulizers
Pseudomonas-1998-Lab-403,PA,1994.50,153,USA,0,,39,unk,no,
Pseudomonas-1996-Liu-116,MDRPA,1994.50,243,France,0,,25,equip,no,suspected contaminated infusion implants
Pseudomonas-1998-Cru-674,PA,1994.67,61,Italy,0,,3,equip,yes,cateract surgical equip
Pseudomonas-1998-Fer-351,PA,1994.67,91,France,0,,14,env,yes,contaminated tap water
Pseudomonas-2002-Gib-643,PA,1995.00,1034,"Calgary, Canada",51.05,-114.06,24,unk,no,
Pseudomonas-2001-Lyy-979,TRPA,1995.33,123,"Helsinki, Finland",60.17,24.94,8,env,yes,env contamination of shower heads and sink.
Pseudomonas-2001-Dub-715,MDRPA,1995.42,1004,"Pau, France",43.3,-0.37,67,HCW,no,no env contamination. Suspected PTP.
Pseudomonas-1998-Ber-324,MDRPA,1995.50,153,"Clichy, France",48.9,2.3,36,env,yes,contaminaed tap water and nutrient solutions
Pseudomonas-1997-Cli-683,MDRPA,1995.58,61,"Richmond, VA, USA",37.5,-77.43,11,equip,yes,a single use transducer was used for multiple patients undergoing urodynamic testing
Pseudomonas-1997-Tas-685,MDRPA,1995.58,122,"Athens, Greece",37.98,23.74,10,unk,no,
Pseudomonas-2002-Den-380,ColistinRPA,1995.92,1519,"Leeds, UK",53.8,-1.55,6,HCW,no,suspected PTP
Pseudomonas-2008-Cor-2491,PA,1996.25,2828,"Nantes, France",47.22,-1.55,59,unk,no,
Pseudomonas-2004-Zab-1549,PA,1996.58,395,"Tuebingen, Germany",48.52,9.06,42,env,yes,"Environmental investigations demonstrated the presence of P. aeruginosa in the ventilation equipment of 22 patients: binasal prongs, water reservoir, and heater."
Pseudomonas-1999-Zal-2111,PA,1996.67,91,"Perpignan, France",42.7,2.9,4,equip,yes,contaminated phacoemulsifier
