Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments,,,
Streptococcus-2011-Deu-3043,group A,2007.75,152,"Atlanta, USA",,,19,HCW+PTP,no,,,,
Streptococcus-2010-Bar-2922,SA,2007,1,"Athens, Greece",,,2,HCW ,no,,,,"rate of contact, per unit time"
Streptococcus-2010-Sta-2927,group A,2008.58,61,"Uppsala, Sweden",,,4,unk,no,,,,gram negative/positive
Streptococcus-2010-Mac-3056,SA,2007.58,61,"Atlanta, USA",,,5,unk,no,,,,additional similar articles -- around 3
Streptococcus-2009-Str-2975,SP,2007.75,7,"Krawkow, Poland",,,6,HCW,yes,,,,
Streptococcus-2008-Cha-2800,group A,2006.92,31,,,,4,HCW,yes,,,,
Streptococcus-2007-Thi-2386,group A,2003.83,61,,,,6,HCW,no,,,,
Streptococcus-2006-Dwo-2304,group A,2003.16,214,"Illinois, USA",,,57,PTP,no,,,,
Streptococcus-2006-Han-2387,SP,2003.75,31,Strasbourg France,,,11,unk,no,,,,Streptococcus agalactiae
Streptococcus-2006-Arn-2388,group A,2004.25,61,"Atlanta, USA",,,6,unk,no,,,,Streptococcus pyogenes
Streptococcus-2006-Kim-2167,group B,2002.17,61,"Seoul, Korea",,,4,env,no,,,,
Streptococcus-2006-Cha-2339,group A,2003,31,"Portland, USA",,,1,air,no,suspected aerosolization of the organism from patient's wound during surgery,,,
Streptococcus-2005-Ray-1849,group A,1999.92,120,"Paris, France",,,5,unk,no,,,,
Streptococcus-2005-Car-1936,SP,1995.25,306,"New York,  USA",,,13,HCW,yes,nasal swab positive in 6/65 asymptomatic residents,,,
Streptococcus-2005-Fel-1854,group A,2000.92,274,"Austin, Texas, USA",,,28,HCW,no,,,,
Streptococcus-2003-Gon-2275,group A,1996.67,61,"Stockholm, Sweden",,,9,unk,no,,,,
Streptococcus-2003-Tan-1325,SP,2001.25,30,"Trenton, USA",,,9,air,no,,,,
Streptococcus-2003-Smi-2252,group A,2001.83,30,"Hamilton, Canada",,,6,HCW,no,only 1/150 HCW carried outbreak strain,,,
Streptococcus-2003-Smi-2251,group A,2000.75,243,"Hamilton, Canada",,,6,HCW,no,,,,
Streptococcus-2003-Sub-1404,SP,,10,"Leeds, UK",,,10,unk,no,no HCW carried outbreak strain,,,
Streptococcus-2002-Per-591,SP,1998.75,61,Mexico,,,9,unk,no,,,,
Streptococcus-2001-Cen-1185,SP,2001.25,30,"New Jersey, USA",,,9,env,no,,,,
Streptococcus-2001-Ejl-1133,group A,1998.25,244,Denmark,,,15,unk,no,HCW and env negative,,,
Streptococcus-2001-Bar-1089,SP,1999,31,UK,,,3,PTP,no,HCW negative,,,
Streptococcus-2001-Wei-599,SP,1995.08,242,"Montreal, Canada",,,16,PTP,no,,,,
Streptococcus-2000-Boh-593,group A,1997.67,122,"Berne, Switzerland",,,19,unk,no,,,,
Streptococcus-2000-Gle-1232,SP,1997.42,30,"New York, USA",,,15,air,no,,,,
Streptococcus-1999-Ara-2516,group A,1996.92,62,USA,,,3,HCW,no,,,,
Streptococcus-1999-Ara-2515,group A,1996.5,427,USA,,,9,HCW,no,,,,
Streptococcus-1999-de-602,MDRSP,1995.5,792,"Veldhoven, The Netherlands.",,,36,PTP,no,HCW and env negative,,,
Streptococcus-1999-Cra-603,SP,1996.75,31,"Nashville, USA",,,3,PTP,no,,,,
Streptococcus-1999-Dav-1110,SP,1997.75,20,"Heerlen, The Netherlands",,,19,HCW,yes,2 nurses positive on same floor,,,
Streptococcus-1998-Tak-2254,SP,1994.42,304,"Maebashi, Japan",,,17,equip,yes,contaminated vinyl sheet on bed,,,
Streptococcus-1998-Nuo-842,SP,1996.08,28,"Oklahoma, USA",,,25,HCW,yes,64% residents positive,,,
Streptococcus-1998-She-1444,SP,1997.17,92,"California, USA",,,15,air,no,HCW negative,,,
Streptococcus-1997-Cen-2285,SP,1995.75,31,USA,,,10,unk,no,contact suspected,,,
Streptococcus-1997-Gil-1142,PRSP,1992.75,62,"London, UK",,,9,env,no,,,,
