Matchcode,Resistance,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Cases (HCW),Transmission,Molecular Evidence,Comments
Klebsiella-1997-Bra-2326,KP,1988.25,31.00,France,0,,7,,unk,no,
Klebsiella-1992-Coo-911,KP,1989.50,62.00,UK,0,,9,,HCw+env,yes,
Klebsiella-1997-Bra-2327,KP,1990.67,303.00,France,0,,11,,unk,no,
Klebsiella-1995-Eis-2187,KP,1991.08,852.00,Australia,0,,42,,HCW+env,yes,HCW hands + NBS Bath
Klebsiella-1996-Fre-651,KP,1992.50,123.00,UK,0,,14,,HCW,no,
Klebsiella-1998-Pen-662,KP,1993.00,880.00,Spain,0,,107,,unk,no,
Klebsiella-1998-Gai-663,KP,1993.50,153.00,France,0,,8,,equip,yes,ultrasonography coupling gel used in the emergency room
Klebsiella-1999-Roy-661,KP,1995.50,215.00,"Royal Alexandra Hospital for Children, NSW, Australia",-33.8,150.99,7,,unk,no,
Klebsiella-2003-Ben-1737,KP,1996.00,90.00,"Tunis, Tunisia",36.82,10.17,23,,env,yes,database
Klebsiella-1998-Gni-3038,KP,1996.17,92.00,"Warsaw, Poland",52.23,21.01,8,,unk,no,
Klebsiella-1998-Vil-656,KP,1996.17,245.00,"Naples, Italy",40.84,14.25,27,,HCW,no,
Klebsiella-2000-Cot-908,KP,1996.42,153.00,"Stellenbosch, South Africa",-33.94,18.86,191,,insect,yes,cockroaches! And env contamination and medical equip
Klebsiella-2004-And-1647,KP,1996.42,30.00,"Morelos, Mexico",18.68,-99.1,6,,unk,no,
Klebsiella-2004-Kac-1607,KO,1996.67,122.00,"Paris, France",48.86,2.35,19,,env,yes,database
Klebsiella-2005-Bou-2841,KP,1997.00,212.00,"Sousse, Tunisia",35.83,10.63,57,,equip,no,
Klebsiella-2003-Gru-1692,KP,1997.17,153.00,"Lelystad, The Netherlands",52.52,5.47,24,,unk,no,
Klebsiella-2003-Pes-1640,KP,1997.50,669.00,"Rio de Janero, Brazil",-22.9,-43.21,219,,HCW,no,
Klebsiella-1998-Sha-653,KP,1997.50,92.00,"London, UK",51.51,-0.128,7,,HCW,no,
Klebsiella-2000-Par-1784,KP,1997.92,62.00,"Kuala Lumpur, Malaysia",3.14,101.69,8,,equip,yes,
Klebsiella-2000-Gir-2178,KP,1998.08,28.00,"Paris, France",48.86,2.35,11,,unk,no,
Klebsiella-2001-Kom-1689,KP,1998.08,518.00,"Kinki, Japan",34.7,135.59,24,,unk,no,
Klebsiella-2000-Nad-1690,KP,1998.17,365.00,"Paris, France",48.86,2.35,13,,unk,no,
Klebsiella-1999-Gre-660,KP,1998.25,61.00,"Johannesburg, S Africa",-26.2,28.05,6,,unk,no,
Klebsiella-1997-Bra-2325,KP,1998.25,1005.00,"Clichy, France",48.9,2.3,17,,equip,yes,fibroscope suspected
Klebsiella-2005-Qav-1716,KP,1998.50,62.00,New York,40.71,-74.01,14,,unk,no,
Klebsiella-2003-Aya-1569,KP,1999.00,31.00,"Malatya, Turkey",38.36,38.31,11,,HCW+equip,yes,
Klebsiella-2005-Bos-1940,KP,1999.50,123.00,"Sao Paulo, Brazil",-23.55,-46.64,15,,HCW,yes,
Klebsiella-2005-Oha-1935,KP,1999.67,1218.00,"Garches, France",48.85,2.19,57,,unk,no,
Klebsiella-2005-van-1942,KP,2000.83,61.00,"Tilburg, The Netherlands",51.59,5.08,7,,env,yes,surgical rollboards
Klebsiella-2004-Car-1543,KP,2001.08,365.00,"La Coru–a, Spain",43.37,-8.4,21,,env,no,
Klebsiella-2004-Gup-1327,KP,2001.25,153.00,New York,40.71,-74.01,19,,HCW,yes,in artificial nails
Klebsiella-2003-Bre-1691,KP,2001.50,243.00,"Birmingham, UK",52.49,-1.89,33,,unk,no,
Klebsiella-2007-Maz-2614,KP,2001.58,487.00,"Gelderland, The Netherlands",52.05,5.87,85,,unk,no,
Klebsiella-2003-Aya-1571,KP,2001.83,61.00,"Malatya, Turkey",38.36,38.31,9,,equip,yes,
Klebsiella-2006-Mar-2331,KP,2002.17,214.00,"Rio de Janerio, Brazil",-22.9,-43.21,6,,unk,no,
Klebsiella-2004-Bri-1771,KP,2002.17,396.00,"Logro–o, Spain",42.47,-2.45,12,,env,yes,
