Matchcode,Strain,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Transmission,Molecular Evidence,Comments
Serratia-2011-Mad-3073,SM,2008.83,92,"Jeddah, Saudi Arabia",,,14,equip,yes,abstract: contaminated shampoo
Serratia-2011-Bay-3042,SM,2006.16,92,"Trabzon, Turkey",,,10,HCW+equip,yes,"abstract: hands, one hand-washing sample and two breast milk samples"
Serratia-2010-Suh-2889,ESBLSM,2005.416667,183,"Seoul, Korea",,,9,unk,no,
Serratia-2009-SuJ-3103,SM,2007.83,39,"Atlanta, USA",,,22,equip,no,
Serratia-2009-Buf-2503,SM,2006.25,122,"Rennes, France",,,5,HCW+equip,yes,database: soap dispense
Serratia-2009-Gul-2497,SM,2006.92,90,"Kahramanmaras, Turkey",,,8,unk,no,
Serratia-2009-Blo-2892,SM,2007.75,151,"Atlanta, USA",,,162,equip,yes,database: contaminated heparin syringes
Serratia-2008-Fri-2594,SM,2004.16,184,"Victoria, Australia",,,51,HCW ,no,
Serratia-2008-deB-2548,SM,2005,393,"Leiden, Netherlands",,,21,unk,no,
Serratia-2008-Rab-2537,SM,2006.18,245,"Angers, France",,,9,equip,yes,abstract: soap bottle
Serratia-2008-ALJ-2464,SM,2005,365,"Gaza Strip, Palestine",,,159,HCW,yes,
Serratia-2008-RAB-2462,SM,2006.16,245,"Angers, France",,,9,unk,no,
Serratia-2008-IVA-2477,ESBLSM,2003.33,61,"Sofia, Bulgaria",,,9,HCW+env,yes,
Serratia-2008-Mar-2580,MDRSM,2004.75,151,"Baltimore, USA",,,18,HCW ,no,
Serratia-2007-Gil-2786,SM,2003.92,761,"Victoria, Australia",,,99,unk,no,
Serratia-2006-Pan-2114,MDRSM,,2,"Brescia, Italy",,,6,env+equip,no,
Serratia-2006-Civ-2314,SM,2001.33,31,"Los Angeles, USA",,,11,equip,yes,betamethasone vials
Serratia-2006-de-2362,ESBLSM,2002.33,914,"Groningen, The Netherlands",,,18,HCW,yes,hands
Serratia-2006-Yat-2228,MDRSM,2002.25,426,"Akita, Japan",,,4,unk,no,
Serratia-2006-Hor-2227,MDRSM,2000.83,395,"Barcelona, Spain",,,19,env ,yes,contaminated faucet
Serratia-2006-Dav-2129,MDRSM,2001.75,273,"Birmingham, UK",,,18,HCW,no,
Serratia-2006-Gil-2687,SM,2003.583333,273,"Victoria, Australia",,,58,unk,no,
Serratia-2006-DEV-2400,SM,2002.33,914,"Groningen, The Netherlands",,,18,HCW,yes,hands
Serratia-2006-Jep-2790,SM,2003.16,153,N/A,,,6,HCW,yes,
Serratia-2006-Gil-2066,SM,2003.583333,272,"Melbourne, Australia",,,58,unk,no,
Serratia-2005-Yoo-2061,SM,2002.16,761,"Seoul, Korea",,,74,equip,yes,urine jugs
Serratia-2005-Cen-1720,SM,2005,31,N/A,,,6,unk,no,
Serratia-2005-Cul-1666,SM,,91,"Salford, UK",,,4,equip,no,
Serratia-2005-Dub-2072,SL,2001.08,789,"Toulouse, France",,,17,unk,yes,
Serratia-2004-Lai-1588,SM,2001.416667,92,"Worchester, USA",,,11,unk,yes,
Serratia-2004-Mil-1586,SM,2002.5,61,"New York, USA",,,4,HCW,no,
Serratia-2004-Bag-3131,MDRSM,2001.416667,273,"Napoli, Italy",,,13,unk,no,
Serratia-2004-Sar-1604,SM,1999.92,973,"Helsinki, Finland",,,19,unk,yes,
Serratia-2004-Mil-1585,SM,2001.66,61,"New York, USA",,,5,HCW+env,yes,
Serratia-2004-Alf-1383,MDRSM,2001.83,28,"Kuala Lumpur, Malaysia",,,8,env,yes,
Serratia-2004-Tan-1584,SM,2001.92,427,"Shinjuku-ku, Japan",,,12,equip,yes,contaminated heparin solution
Serratia-2003-Su-2253,SM,1998.25,365,"Taoyuan, Taiwan",,,87,equip,yes,contamined urine bottles
Serratia-2003-Mir-2262,SM,2000.33,31,"Mexico City, Mexico",,,4,HCW,no,
Serratia-2004-Tak-3087,SM,1999.5,365,"Osaka, Japan",,,71,HCW+equip,yes,"soap, drying rack, soap"
Serratia-2002-Fle-1615,SM,1998.16,274,"Zurich, Switzerland",,,30,env,yes,sinks
Serratia-2002-Ass-1578,SM,2000.75,182,"Vienna, Austria",,,10,unk,yes,
Serratia-2002-Fle-1617,SM,2000.16,153,"Zurich, Switzerland",,,19,HCW,yes,
Serratia-2002-Fle-1616,SM,1999.92,92,"Zurich, Switzerland",,,24,env,yes,milk kitchen sink
Serratia-2002-Ste-1609,SM,1998.66,91,"Leipzig, Germany",,,15,unk,yes,
Serratia-2002-Seb-1572,SM,1999.42,122,"Philadelphia, USA",,,23,unk,yes,
Serratia-2002-Ese-1403,SM,2000.16,122,"Kayseri, Turkey",,,17,equip,no,
Serratia-2002-Udu-1402,SM,2000.42,153,"Al Ain, United Arab Emirates",,,36,air,yes,
Serratia-2002-van-1027,SM,1999.66,395,"Groningen, The Netherlands",,,36,drug,yes,medication
Serratia-2001-Hen-1544,SM,1999.66,61,"Toronto, Canada",,,7,drug,yes,database: contaminated propofol; negative environment
Serratia-2001-Pra-1611,SM,1999.16,122,"Milwaukee, USA",,,8,HCW,no,environment negative
Serratia-2001-Man-552,SM,1995.25,275,"Pennsylvania, USA",,,14,HCW+env,yes,
Serratia-2001-Gro-546,SL,1999.42,92,"Atlanta, USA",,,17,drug,yes,contaminated drug: epoetin alfa
Serratia-2001-Jan-1612,MDRSM,1999.08,212,"Taipei, Taiwan",,,9,HCW+equip,yes,"hands, hand-washes and doors of incubators"
Serratia-2001-Har-548,SL,1999.75,92,"Prescot, UK",,,16,equip,yes,contaminated pressure monitoring equipment: syringes and connector tubing
Serratia-2001-Vil-1610,ESBLSM,1998.66,456,"Rome, Italy",,,56,HCW+equip,yes,two handwashing disinfectants and the hands of a nurse; env negative
Serratia-2000-Kno-533,SM,1998.66,303,"Dublin, Ireland",,,24,HCW,no,
Serratia-2000-Hej-2284,SM,1988.00,2555,"Dublin, Ireland",,,311,HCW,no,env negative
Serratia-2000-Jon-555,SM,,63,"Glasgow, Scotland",,,17,equip,yes,laryngoscope blade
Serratia-2000-Jon-3135,MDRSM,,60,"Glasgow, Scotland",,,17,unk,yes,
Serratia-2000-Ayg-2263,MDRSM,1998,365,"Ankara, Turkey",,,7,unk,yes,
Serratia-1999-Ber-517,SM,1994.83,212,"Saint-Etienne, France",,,49,drug,yes,"disinfectants and antiseptics, with the exception of a bottle of Liprocil (lipid enteral feed additive"
Serratia-1999-Yoo-535,SM,1996.33,153,"Seoul, Korea",,,16,HCW+env,yes,mechanical ventilator and personnel
Serratia-1999-Bri-2172,ESBLSM,1997.92,515,"Uberlandia, Brazil",,,53,env,yes,sink drains
Serratia-1999-Hoy-2277,SM,,56,"Cleveland, USA",,,8,unk,yes,
Serratia-1998-Her-725,SM,1996.08,120,"Dublin, Ireland",,,15,HCW+equip,no,"contaminated bed-pan macerator, suspected hand spread but no evidence"
Serratia-1998-Vig-520,SM,1992.08,273,"Quebec, canada",,,151,drug,yes,chlorhexidine
Serratia-1997-Pas-507,SM,1994.58,61,"Berkeley, Usa",,,7,HCW,yes,
Serratia-1997-Shi-621,SM,1996.16,92,"Taichung, Taiwan",,,17,HCW+equip,yes,urinals
Serratia-1997-Edg-532,SM,1995.25,61,"Texas, USA",,,3,unk,no,
Serratia-1997-Cim-522,SM,,244,"Vancouver, Canda",,,12,equip,no,suspected glutaraldehyde disinfectant
Serratia-1997-Arc-2157,SM,1994.58,457,"Atlanta, USA",,,32,HCW+equip,yes,contaminated 1% chlorxylenol soap
Serratia-1996-Bos-620,SM,1994.33,92,"Marseille, France",,,16,drug,yes,hexetidine solution (antiseptic for patient mouth washing) -- diluted
Serratia-1996-Mir-713,SM,1995.16,153,"San Antonio, USA",,,33,unk,yes,
Serratia-1995-Deb-509,MDRSM,1993.33,214,"Nijmegen, The Netherlands",,,27,HCW,no,
Serratia-1994-Pag-523,ESBL SM,1993.08,273,"Pavia, Italy",,,43,unk,no,
Serratia-1994-Liu-515,SM,1993.83,30,"Taichung, Taiwan",,,7,unk,no,
Serratia-1994-Fre-510,SO,1992.66,61,"Johannesburg, South Africa",,,8,equip,yes,"contaminate parenteral nutrition fluid, isolator"
Serratia-1993-Vol-1137,SM,1985.75,31,"Secretaria Salud, Mexico",,,3,unk,no,
Serratia-1993-Ste-525,SM,1990.33,61,"Vellore, India",,,28,drug,yes,contaminated antibiotic cream
Serratia-1993-Van-2162,SM,1990.75,31,"Utrecht, The Netherlands",,,7,equip,yes,contaminated bronchoscope
Serratia-1992-Cha-527,SM,1992,90,,,,10,equip,no,
Serratia-1992-Sok-530,SM,1988.25,274,"Oak Lawn, USA",,,14,equip,yes,electrocardiogram rubber welsh bulbs
Serratia-1991-Cor-1138,SM,1988.16,92,Mexico,,,21,unk,no,
Serratia-1991-Kri-534,SM,1989.16,306,"Bangalore, India",,,21,equip,yes,dialysis unit
Serratia-1989-Zai-567,SM,1987.08,89,"Mexico City, Mexico",,,32,HCW,yes,
Serratia-1989-McA-565,SM,1984.5,608,"Glasgow, Scotland",,,10,equip,yes,acqueous chlorhexidine 
Serratia-1989-Lew-564,SM,1978.83,92,"London, UK",,,5,equip,no,suspected skin disinfection brush
Serratia-1988-Cet-568,SM,1983.16,184,"Lyon, France",,,15,equip,no,"suspected coagulation testubes, citrate solution, reused syringes"
Serratia-1987-Nak-1806,SM,1981.83,120,N/A,,,11,equip,yes,cotton balls
Serratia-1987-Bra-2173,SM,1984.75,123,"Tel-Aviv, Israel",,,34,unk,yes,
Serratia-1987-Wil-569,SM,1985.08,59,N/A,,,10,equip,yes,shaving equipment
Serratia-1986-Gra-718,SM,1982,273,N/A,,,30,equip,yes,contaminated milk and pumps
Serratia-1984-Dug-538,SM,1982.33,365,N/A,,,62,unk,no,
Serratia-1984-Ser-722,MDRSL,1981.58,92,N/A,,,10,equip,yes,fluid in disposable dome of sytometer
Serratia-1984-Smi-711,SM,1981.583333,457,N/A,,,153,unk,no,
Serratia-1984-Oku-610,SM,1980.92,608,N/A,,,192,unk,no,
Serratia-1984-Ech-609,SM,1977.33,396,N/A,,,38,equip,no,
Serratia-1983-Lew-1629,NRSM,,154,N/A,,,13,unk,yes,
Serratia-1983-Liu-705,SM,1982.83,120,China,,,30,unk,no,
Serratia-1982-Chr-672,MDRSM,1979.16,306,N/A,,,92,HCW+equip,yes,"Hands, skin cleanser, suction tubing, manual infant resuscitation bags"
Serratia-1982-Gei-671,SM,1981.08,90,N/A,,,9,HCW,no,
Serratia-1981-Rut-712,MDRSM,1978.66,547,N/A,,,32,equip,yes,urine measuring containers and urometers
Serratia-1981-Cha-619,SM,1978,546,N/A,,,50,unk,no,
Serratia-1981-Mut-601,MDRSM,1979.42,92,N/A,,,11,HCW,yes,
Serratia-1981-Ana-2147,MDRSM,1979.66,62,N/A,,,16,equip,yes,brushes for hand washing
Serratia-1980-Ehr-618,SM,1978.42,122,N/A,,,6,equip,yes,contamined pressure manometer for extracorporeal circulation
Serratia-1979-Don-597,SM,1978,212,N/A,,,17,HCW+equip,yes,transducer heads
Serratia-1976-Sta-723,SM,1973.92,427,N/A,,,42,HCW,yes,HCW hands
Serratia-1976-Sch-622,SM,1973.25,275,N/A,,,214,HCW ,no,
Serratia-1976-Mad-596,SM,1972.92,31,N/A,,,115,env,yes,
Serratia-1975-Wal-554,SM,1973.33,61,N/A,,,6,equip,no,
Serratia-1975-Ric-608,SM,197125,61,N/A,,,3,equip,yes,ventilation humidifier
Serratia-1970-San-551,SM,1968.33,304,N/A,,,374,HCW+equip,no,
Serratia-1969-Cab-557,SM,1967.75,182,N/A,,,49,equip,no,
Serratia-1968-Rin-559,MDRSM,1967.33,153,N/A,,,19,equip,no,
Serratia-1966-McC-3069,SM,1965.08,89,N/A,,,22,equip,yes,caps of plastic saline bottles
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Serratia liquefaciens,,,,,,,,,,
Serratia odorifera,,,,,,,,,,
Serratia marcescens,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
